Company,Website,Industry,City,State,Owner,Phone
The Vermont Country Store,https://www.vermontcountrystore.com,Retail,Weston,VT,,
Ferrara Bakery & Cafe,ferraracafe.com,Bakery,New York,NY,,
Lodge Cast Iron,lodgecastiron.com,Manufacturing,South Pittsburg,TN,,
Russ & Daughters,russanddaughters.com,Specialty food,New York,NY,,
Baker Brothers Plumbing,bakerbrothersplumbing.com,Plumbing & HVAC,Dallas,TX,,
Abacus Plumbing,abacusplumbing.com,Plumbing & HVAC,Houston,TX,,
Junior's Cheesecake,juniorscheesecake.com,Bakery,Brooklyn,NY,,
Zingerman's Delicatessen,zingermansdeli.com,Restaurant,Ann Arbor,MI,,
Zabar's,zabars.com,Specialty food,New York,NY,,
Commander's Palace,commanderspalace.com,Restaurant,New Orleans,LA,,
Penzeys Spices,penzeys.com,Specialty food,Wauwatosa,WI,,
Katz's Delicatessen,katzsdelicatessen.com,Restaurant,New York,NY,,
Ferrara Bakery,https://www.ferraracafe.com/about,Bakery,New York,NY,,
"Russ and Daughters, LLC",russanddaughterscafe.com,Specialty food,New York,NY,,
Corner Diner (no website),,Restaurant,Springfield,IL,,
